School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year
100 BLACK MEN OF THE BAY AREA COMMUNITY,California,CA ,100 Black Men of the Bay Area Community,62805013190
180 PROGRAM,California,CA ,180 Program,62772013070
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,CA ,21st Century Learning Institute,60429013779
A PLACE TO GROW,California,CA ,A Place to Grow,62827013394
A. E. ARNOLD ELEMENTARY,California,CA ,A. E. Arnold Elementary,61044001166
A. G. CURRIE MIDDLE,California,CA ,A. G. Currie Middle,64015006636
A. J. COOK ELEMENTARY,California,CA ,A. J. Cook Elementary,61488001834
A. J. DORSA ELEMENTARY,California,CA ,A. J. Dorsa Elementary,60231000103
A. L. CONNER ELEMENTARY,California,CA ,A. L. Conner Elementary,61970010780
A. M. THOMAS MIDDLE,California,CA ,A. M. Thomas Middle,62295007772
A. M. WINN WALDORF-INSPIRED,California,CA ,A. M. Winn Waldorf-Inspired,63384005217
ABBOTT MIDDLE,California,CA ,Abbott Middle,63492005896
ABBY REINKE ELEMENTARY,California,CA ,Abby Reinke Elementary,60002808271
ABC SECONDARY (ALTERNATIVE),California,CA ,ABC Secondary (Alternative),60162010232
ABERNATHY COLLEGIATE CHARTER,California,CA ,Abernathy Collegiate Charter,63888013102
ABRAHAM LINCOLN,California,CA ,Abraham Lincoln,62985004650
ABRAHAM LINCOLN ALTERNATIVE,California,CA ,Abraham Lincoln Alternative,63762002045
ABRAHAM LINCOLN CONTINUATION,California,CA ,Abraham Lincoln Continuation,63315005148
ABRAHAM LINCOLN ELEMENTARY,California,CA ,Abraham Lincoln Elementary,60939000951
ABRAHAM LINCOLN ELEMENTARY,California,CA ,Abraham Lincoln Elementary,63384005218
ABRAHAM LINCOLN ELEMENTARY,California,CA ,Abraham Lincoln Elementary,61029001139
ABRAHAM LINCOLN ELEMENTARY,California,CA ,Abraham Lincoln Elementary,63581006125
ABRAHAM LINCOLN ELEMENTARY,California,CA ,Abraham Lincoln Elementary,61524001937
ABRAHAM LINCOLN ELEMENTARY,California,CA ,Abraham Lincoln Elementary,62724000755
ABRAHAM LINCOLN ELEMENTARY,California,CA ,Abraham Lincoln Elementary,61111001230
ABRAHAM LINCOLN ELEMENTARY,California,CA ,Abraham Lincoln Elementary,63531005993
